title,genres,episodes,duration_per_episode,score,year,studios,Q_views,minutes_per_episode
Akame ga Kill!,Action,24,23 min per ep,7.47,2014,['White Fox'],1,23
Akame ga Kill!,Fantasy,24,23 min per ep,7.47,2014,['White Fox'],1,23
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Drama,11,22 min per ep,8.29,2011,['A-1 Pictures'],1,22
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Supernatural,11,22 min per ep,8.29,2011,['A-1 Pictures'],1,22
Jaku-Chara Tomozaki-kun,Drama,12,23 min per ep,7.11,2021,['Project No.9'],1,23
Jaku-Chara Tomozaki-kun,Romance,12,23 min per ep,7.11,2021,['Project No.9'],1,23
Kuzu no Honkai,Drama,12,22 min per ep,7.09,2017,['Lerche'],1,22
Kuzu no Honkai,Romance,12,22 min per ep,7.09,2017,['Lerche'],1,22
Ao Haru Ride,Romance,12,23 min per ep,7.63,2014,['Production I.G'],1,23
Koi to Yobu ni wa Kimochi Warui,Comedy,12,23 min per ep,7.12,2021,['Nomad'],1,23
Koi to Yobu ni wa Kimochi Warui,Romance,12,23 min per ep,7.12,2021,['Nomad'],1,23
Hige wo Soru. Soshite Joshikousei wo Hirou.,Drama,13,23 min per ep,7.27,2021,['Project No.9'],1,23
Hige wo Soru. Soshite Joshikousei wo Hirou.,Romance,13,23 min per ep,7.27,2021,['Project No.9'],1,23
Ballroom e Youkoso,Sports,24,24 min per ep,8.18,2017,['Production I.G'],2,24
Enen no Shouboutai,Action,24,23 min per ep,7.72,2019,['David Production'],1,23
Enen no Shouboutai,Fantasy,24,23 min per ep,7.72,2019,['David Production'],1,23
Enen no Shouboutai,Sci-Fi,24,23 min per ep,7.72,2019,['David Production'],1,23
Enen no Shouboutai: Ni no Shou,Action,24,24 min per ep,7.83,2020,['David Production'],1,24
Enen no Shouboutai: Ni no Shou,Fantasy,24,24 min per ep,7.83,2020,['David Production'],1,24
Enen no Shouboutai: Ni no Shou,Sci-Fi,24,24 min per ep,7.83,2020,['David Production'],1,24
Psycho-Pass,Action,22,23 min per ep,8.33,2012,['Production I.G'],1,23
Psycho-Pass,Mystery,22,23 min per ep,8.33,2012,['Production I.G'],1,23
Psycho-Pass,Sci-Fi,22,23 min per ep,8.33,2012,['Production I.G'],1,23
Psycho-Pass,Suspense,22,23 min per ep,8.33,2012,['Production I.G'],1,23
ReLIFE,Drama,13,23 min per ep,7.96,2016,['TMS Entertainment'],2,23
ReLIFE,Romance,13,23 min per ep,7.96,2016,['TMS Entertainment'],2,23
Yuri!!! on Ice,Award Winning,12,23 min per ep,7.9,2016,['MAPPA'],3,23
Yuri!!! on Ice,Sports,12,23 min per ep,7.9,2016,['MAPPA'],3,23
Banana Fish,Action,24,22 min per ep,8.46,2018,['MAPPA'],4,22
